year,age,people,sex
1989,0,370680,Male
1989,0,354974,Female
1989,1,379109,Male
1989,1,362729,Female
1989,2,397772,Male
1989,2,381864,Female
1989,3,387079,Male
1989,3,374154,Female
1989,4,399224,Male
1989,4,383125,Female
1989,5,403120,Male
1989,5,390385,Female
1989,6,374190,Male
1989,6,361074,Female
1989,7,361379,Male
1989,7,349656,Female
1989,8,374245,Male
1989,8,360196,Female
1989,9,366513,Male
1989,9,353263,Female
1989,10,365252,Male
1989,10,353444,Female
1989,11,358882,Male
1989,11,348483,Female
1989,12,374373,Male
1989,12,363147,Female
1989,13,369002,Male
1989,13,359436,Female
1989,14,367348,Male
1989,14,357371,Female
1989,15,372240,Male
1989,15,354567,Female
1989,16,386514,Male
1989,16,368871,Female
1989,17,377658,Male
1989,17,355397,Female
1989,18,350223,Male
1989,18,343807,Female
1989,19,321252,Male
1989,19,318730,Female
1989,20,328366,Male
1989,20,327607,Female
1989,21,331818,Male
1989,21,325406,Female
1989,22,340749,Male
1989,22,335322,Female
1989,23,332679,Male
1989,23,329902,Female
1989,24,350974,Male
1989,24,349593,Female
1989,25,373758,Male
1989,25,375162,Female
1989,26,386940,Male
1989,26,390165,Female
1989,27,395429,Male
1989,27,397253,Female
1989,28,412097,Male
1989,28,417496,Female
1989,29,401412,Male
1989,29,407403,Female
1989,30,403062,Male
1989,30,410270,Female
1989,31,391578,Male
1989,31,398415,Female
1989,32,383800,Male
1989,32,394610,Female
1989,33,367004,Male
1989,33,378197,Female
1989,34,378785,Male
1989,34,393285,Female
1989,35,353831,Male
1989,35,368733,Female
1989,36,367021,Male
1989,36,383364,Female
1989,37,364720,Male
1989,37,378440,Female
1989,38,362303,Male
1989,38,381820,Female
1989,39,378533,Male
1989,39,403483,Female
1989,40,331739,Male
1989,40,353979,Female
1989,41,287001,Male
1989,41,308456,Female
1989,42,284709,Male
1989,42,309668,Female
1989,43,181163,Male
1989,43,202009,Female
1989,44,210991,Male
1989,44,237363,Female
1989,45,198678,Male
1989,45,222868,Female
1989,46,246684,Male
1989,46,281601,Female
1989,47,337941,Male
1989,47,381218,Female
1989,48,342251,Male
1989,48,390299,Female
1989,49,378488,Male
1989,49,440594,Female
1989,50,405192,Male
1989,50,475089,Female
1989,51,428888,Male
1989,51,490721,Female
1989,52,352047,Male
1989,52,405164,Female
1989,53,302219,Male
1989,53,341309,Female
1989,54,237263,Male
1989,54,266450,Female
1989,55,201486,Male
1989,55,236385,Female
1989,56,248080,Male
1989,56,307450,Female
1989,57,259637,Male
1989,57,316730,Female
1989,58,312694,Male
1989,58,398160,Female
1989,59,294377,Male
1989,59,380545,Female
1989,60,309841,Male
1989,60,415195,Female
1989,61,289783,Male
1989,61,392852,Female
1989,62,252197,Male
1989,62,396793,Female
1989,63,222412,Male
1989,63,379047,Female
1989,64,200714,Male
1989,64,374278,Female
1989,65,176425,Male
1989,65,337763,Female
1989,66,144950,Male
1989,66,307433,Female
1989,67,131395,Male
1989,67,265449,Female
1989,68,108535,Male
1989,68,226483,Female
1989,69,102297,Male
1989,69,219660,Female
1989,70,104614,Male
1989,70,231430,Female
1989,71,64816,Male
1989,71,145290,Female
1989,72,68603,Male
1989,72,163322,Female
1989,73,81736,Male
1989,73,193466,Female
1989,74,100189,Male
1989,74,260239,Female
1989,75,91415,Male
1989,75,222941,Female
1989,76,93374,Male
1989,76,252503,Female
1989,77,76578,Male
1989,77,190244,Female
1989,78,73652,Male
1989,78,208216,Female
1989,79,59937,Male
1989,79,156056,Female
1990,0,352522,Male
1990,0,335605,Female
1990,1,380267,Male
1990,1,362021,Female
